,School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
28,Academy for Integrated Learning (BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
29,Academy for Integrated Learning (BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
30,Academy for Integrated Learning (BN),Juvenile Report,Off-Site,No,Non-Scanning,N,N,N,SSA,No Restraints,N,None,,,M
31,Academy for Integrated Learning (BN),Mitigated,Off-Site,No,Non-Scanning,N,N,N,SSA,No Restraints,N,None,,,
32,Academy for Integrated Learning (BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
33,ACADEMY FOR NEW AMERICANS IS 235(QN),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
34,ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),PINS / Warrant,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
35,ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Arrested,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,ASSAULT,,F
36,ACADEMY OF AMERICAN STUDIES(QN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
37,ACADEMY OF AMERICAN STUDIES(QN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
38,Achievement First Brownsville Charter School(BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
39,Achievement First Bushwick(BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
40,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
41,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
42,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
43,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
44,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
45,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
46,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
47,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
48,ACORN COMMUNITY HS(BN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,UTF,Metal,N,None,,,V
49,ACORN COMMUNITY HS(BN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
50,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
51,ADLAI STEVENSON HS GED(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,M
52,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
53,Adlai Stevenson HS(XE) ,Arrested,On-Site,No,Full-Time,N,N,Y,SSA,Metal,N,None,ASSAULT,,M
54,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,V
55,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
56,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
57,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
58,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
59,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
60,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,DISCON: REFUSE LAWFUL ORDER,V
61,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS. OF MACE,V
62,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
63,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
64,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,POSS. OF KNIFE,V
65,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,Y,Physical Force,,,
66,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,DISORDERLY CONDUCT,V
67,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
68,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
69,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,,,
70,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,V
71,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,V
72,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
73,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,V
74,Adlai Stevenson HS(XE) ,Arrested,Off-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,ASSAULT,,M
75,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,V
76,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
77,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,DISORDERLY CONDUCT,V
78,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
79,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,Y,Physical Force,,,V
80,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
81,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,,V
82,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,Metal,N,None,,DISORDERLY CONDUCT,V
83,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,M
84,Adlai Stevenson HS(XE) ,Arrested,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,CPW,,M
85,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,POSS. OF KNIFE,V
86,ALC-JAMAICA ACADEMY@ALC-Complex (Old PS 182Q - Qns),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
87,Alfred E. Smith Campus YABC(XW),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
88,Alfred E. Smith Campus YABC(XW),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
89,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Juvenile Report,Off-Site,No,Full-Time,N,N,N,PATROL,No Restraints,N,None,,,M
90,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,V
91,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
92,ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
93,Alternate Learning Center of Prospect Place(BN),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,AGGR HARASS,,M
94,Alternate Learning Center of Prospect Place(BN),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
95,Alternate Learning Center of Prospect Place(BN),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
96,Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
97,Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
98,Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
99,Andries Hudde JHS(BS),Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
100,Andries Hudde JHS(BS),Arrested,Off-Site,No,Non-Scanning,N,N,N,PATROL,No Restraints,N,None,BURGLARY,,F
101,Andries Hudde JHS(BS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
102,Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
103,Andries Hudde JHS(BS),Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,V
104,Andries Hudde JHS(BS),Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
105,Antonia Pantoja Preparatory Academy(XE),Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
106,Antonia Pantoja Preparatory Academy(XE),Juvenile Report,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,M
107,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Unannounced,Y,Y,Y,SSA,No Restraints,N,None,,,V
108,AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
109,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Unannounced,Y,Y,Y,SSA,No Restraints,N,None,,,V
110,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Unannounced,N,Y,Y,SSA,No Restraints,N,None,,,V
111,AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
112,AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
113,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Unannounced,N,Y,Y,PATROL,No Restraints,N,None,,,M
114,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,,,V
115,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
116,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
117,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
118,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
119,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
120,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
121,ART & DESIGN HS @PS 59M(MS),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,CPCS,,F
122,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
123,Aspirations Diploma Plus HS(BN),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
124,Aspirations Diploma Plus HS(BN),Child in Crisis,On-Site,No,Non-Scanning,Y,Y,Y,,No Restraints,N,None,,,
125,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
126,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
127,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
128,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
129,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
130,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
131,AUGUST MARTIN HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ASSAULT,,M
132,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
133,AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
134,AUGUST MARTIN HS(QS) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS. OF KNIFE,V
135,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
136,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
137,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
138,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
139,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
140,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
141,AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
142,AUTOMOTIVE HS(BN) ,Juvenile Report,Off-Site,No,Full-Time,N,N,Y,PATROL,Metal,N,None,,,M
143,AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
144,AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
145,AVIATION CAREER & TECHNICAL EDUCATION HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
146,BANANA KELLY HS(XE) ,Arrested,Off-Site,No,Non-Scanning,N,N,N,DB,Metal,N,None,ASSAULT,,F
147,Bard HS Early College II(QN),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,,No Restraints,N,None,,,
148,Bard HS Early College II(QN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
149,Baruch College Campus HS(MS),Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
150,Baruch College Campus HS(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
151,Baruch College Campus HS(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
152,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
153,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,SSA,Velcro,N,None,,,
154,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
155,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
156,Battery Park City School(MS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
157,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
158,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
159,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
160,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Arrested,Off-Site,Yes,Random,N,N,Y,PATROL,Metal,N,None,MENACING 3RD,,M
161,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
162,Baychester Academy(XE),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
163,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
164,BAYSIDE HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
165,BAYSIDE HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
166,BAYSIDE HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
167,BAYSIDE HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
168,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
169,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
170,BAYSIDE HS(QN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,UTF,No Restraints,N,None,,DISCON: FIGHTING,V
171,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
172,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
173,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,Metal,N,None,,,V
174,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,M
175,BAYSIDE HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,M
176,BEACH CHANNEL HS(QS) ,Arrested,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,GRAND LARCENY,,F
177,BEACH CHANNEL HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ROBBERY,,F
178,BEACH CHANNEL HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ROBBERY,,F
179,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
180,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
181,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,N,Y,,No Restraints,N,None,,,
182,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,UTF,Metal,N,None,,,
183,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,BOX CUTTER,V
184,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
185,BEACH CHANNEL HS(QS) ,Arrested,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,ASSAULT,,M
186,BEACH CHANNEL HS(QS) ,Arrested,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,SEXUAL ABUSE,,M
187,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,POSS. OF KNIFE,V
188,Beacon High School (MS),Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
189,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
190,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
191,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
192,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
193,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
194,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
195,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
196,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
197,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
198,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
199,BENJAMIN BANNEKER ACADEMY(BN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
200,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
201,BENJAMIN CARDOZO HS(QN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,SSA,Metal,N,None,ASSAULT,,M
202,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
203,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
204,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
205,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
