DBN,School_Name,Attn_Pct,Online_Presence,In_Person_Presence,Borough,District_Code,Attn_Date_YMD
02M427,MANHATTAN ACADEMY FOR ARTS LANGUAGE,79.25,75.77,100.0,MANHATTAN,2,2021-06-02
02M432,MURRAY HILL ACADEMY,78.98,84.39,57.69,MANHATTAN,2,2021-06-02
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,INC,,,MANHATTAN,2,2021-06-02
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,77.28,77.28,,MANHATTAN,2,2021-06-02
02M439,MANHATTAN VILLAGE ACADEMY,98.48,98.32,100.0,MANHATTAN,2,2021-06-02
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",97.87,98.0,97.8,MANHATTAN,2,2021-06-02
02M449,VANGUARD HIGH SCHOOL,100,100.0,,MANHATTAN,2,2021-06-02
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,72.98,70.99,95.65,MANHATTAN,2,2021-06-02
02M475,STUYVESANT HIGH SCHOOL,88.13,88.13,,MANHATTAN,2,2021-06-02
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,84.57,85.8,76.76,MANHATTAN,2,2021-06-02
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,61.66,61.85,,MANHATTAN,2,2021-06-02
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,INC,,,MANHATTAN,2,2021-06-02
02M519,TALENT UNLIMITED HIGH SCHOOL,71.79,68.73,80.14,MANHATTAN,2,2021-06-02
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,81.66,79.62,100.0,MANHATTAN,2,2021-06-02
02M527,P.S. 527 EAST SIDE SCHOOL FOR SOCIAL ACTION,97.39,96.03,97.77,MANHATTAN,2,2021-06-02
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,INC,,,MANHATTAN,2,2021-06-02
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,92.05,91.17,97.14,MANHATTAN,2,2021-06-02
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,76.65,79.72,45.94,MANHATTAN,2,2021-06-02
02M534,HARVEST COLLEGIATE HIGH SCHOOL,64.94,64.94,,MANHATTAN,2,2021-06-02
02M542,MANHATTAN BRIDGES HIGH SCHOOL,INC,,,MANHATTAN,2,2021-06-02
02M543,NEW DESIGN HIGH SCHOOL,79.1,76.15,100.0,MANHATTAN,2,2021-06-02
02M544,INDEPENDENCE HIGH SCHOOL,20.18,23.46,5.26,MANHATTAN,2,2021-06-02
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,INC,,,MANHATTAN,2,2021-06-02
02M546,ACADEMY FOR SOFTWARE ENGINEERING,63.86,62.23,75.0,MANHATTAN,2,2021-06-02
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,64.65,60.4,75.51,MANHATTAN,2,2021-06-02
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,65.8,60.45,100.0,MANHATTAN,2,2021-06-02
02M560,HIGH SCHOOL M560 CITY AS SCHOOL,33.18,30.85,37.41,MANHATTAN,2,2021-06-02
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,82.85,76.05,89.85,MANHATTAN,2,2021-06-02
02M570,SATELLITE ACADEMY HIGH SCHOOL,35.02,35.02,,MANHATTAN,2,2021-06-02
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,INC,,,MANHATTAN,2,2021-06-02
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,71.98,73.18,67.74,MANHATTAN,2,2021-06-02
02M586,HARVEY MILK HIGH SCHOOL,50.9,63.41,14.28,MANHATTAN,2,2021-06-02
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,37.67,37.67,,MANHATTAN,2,2021-06-02
02M605,HUMANITIES PREPARATORY ACADEMY,93.65,97.92,,MANHATTAN,2,2021-06-02
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,65.77,63.31,84.61,MANHATTAN,2,2021-06-02
02M630,ART AND DESIGN HIGH SCHOOL,92.4,95.89,65.69,MANHATTAN,2,2021-06-02
02M655,LIFE SCIENCES SECONDARY SCHOOL,INC,,,MANHATTAN,2,2021-06-02
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,96.82,96.09,98.95,MANHATTAN,2,2021-06-02
02M933,CITY KNOLL MIDDLE SCHOOL,74.41,78.4,65.85,MANHATTAN,2,2021-06-02
02M972,OFFICE OF ACADEMIC POLICY,INC,,,MANHATTAN,2,2021-06-02
03M009,P.S. 009 SARAH ANDERSON,96.4,95.32,96.7,MANHATTAN,3,2021-06-02
03M054,J.H.S. 054 BOOKER T. WASHINGTON,93.25,93.8,92.03,MANHATTAN,3,2021-06-02
03M075,P.S. 075 EMILY DICKINSON,91.22,89.09,92.83,MANHATTAN,3,2021-06-02
03M076,P.S. 076 A. PHILIP RANDOLPH,81.38,75.39,90.47,MANHATTAN,3,2021-06-02
03M084,P.S. 084 LILLIAN WEBER,96.29,98.65,94.87,MANHATTAN,3,2021-06-02
03M087,P.S. 087 WILLIAM SHERMAN,INC,,,MANHATTAN,3,2021-06-02
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",87.31,82.47,91.82,MANHATTAN,3,2021-06-02
03M149,P.S. 149 SOJOURNER TRUTH,87.31,87.02,87.83,MANHATTAN,3,2021-06-02
03M163,P.S. 163 ALFRED E. SMITH,95.04,96.8,92.57,MANHATTAN,3,2021-06-02
03M165,P.S. 165 ROBERT E. SIMON,89.64,88.34,90.68,MANHATTAN,3,2021-06-02
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,96.56,97.39,96.35,MANHATTAN,3,2021-06-02
03M180,P.S. 180 HUGO NEWMAN,87.23,82.51,92.5,MANHATTAN,3,2021-06-02
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,93.98,96.05,92.07,MANHATTAN,3,2021-06-02
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,82.05,74.8,88.8,MANHATTAN,3,2021-06-02
03M199,P.S. 199 JESSIE ISADOR STRAUS,94.9,96.94,94.35,MANHATTAN,3,2021-06-02
03M241,STEM INSTITUTE OF MANHATTAN,86.11,79.16,91.66,MANHATTAN,3,2021-06-02
03M242,P.S. 242 THE YOUNG DIPLOMATS MAGNET ACADEMY,77.69,75.28,82.92,MANHATTAN,3,2021-06-02
03M243,M.S. 243 CENTER SCHOOL,98.03,98.8,96.51,MANHATTAN,3,2021-06-02
03M245,M.S. M245 THE COMPUTER SCHOOL,89.97,91.28,87.68,MANHATTAN,3,2021-06-02
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,94.37,90.37,100.0,MANHATTAN,3,2021-06-02
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,87.5,85.71,100.0,MANHATTAN,3,2021-06-02
03M256,LAFAYETTE ACADEMY,71.91,66.66,76.59,MANHATTAN,3,2021-06-02
03M258,COMMUNITY ACTION SCHOOL MS 258,91.26,90.36,93.65,MANHATTAN,3,2021-06-02
03M291,WEST END SECONDARY SCHOOL,95.54,95.59,95.39,MANHATTAN,3,2021-06-02
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,78.65,76.47,92.0,MANHATTAN,3,2021-06-02
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",43.27,43.27,,MANHATTAN,3,2021-06-02
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,94.53,88.23,96.85,MANHATTAN,3,2021-06-02
03M334,THE ANDERSON SCHOOL,97.47,93.56,100.0,MANHATTAN,3,2021-06-02
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,68.36,68.47,68.13,MANHATTAN,3,2021-06-02
03M403,THE GLOBAL LEARNING COLLABORATIVE,52.26,48.53,100.0,MANHATTAN,3,2021-06-02
03M404,INNOVATION DIPLOMA PLUS,INC,,,MANHATTAN,3,2021-06-02
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING VIS,96.63,96.34,100.0,MANHATTAN,3,2021-06-02
03M417,FRANK MCCOURT HIGH SCHOOL,89.55,91.57,84.61,MANHATTAN,3,2021-06-02
03M421,WEST PREP ACADEMY,89.01,86.76,95.65,MANHATTAN,3,2021-06-02
03M452,P.S. 452,94.13,90.9,95.66,MANHATTAN,3,2021-06-02
03M479,BEACON HIGH SCHOOL,90.3,90.01,100.0,MANHATTAN,3,2021-06-02
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC ART A,86.61,92.46,55.58,MANHATTAN,3,2021-06-02
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",77.87,78.28,75.47,MANHATTAN,3,2021-06-02
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,INC,,,MANHATTAN,3,2021-06-02
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,42.94,48.71,37.64,MANHATTAN,3,2021-06-02
03M541,MANHATTAN HUNTER SCIENCE HIGH SCHOOL,98.89,98.89,,MANHATTAN,3,2021-06-02
03M859,SPECIAL MUSIC SCHOOL,86.44,79.67,97.34,MANHATTAN,3,2021-06-02
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,82.63,83.64,78.46,MANHATTAN,3,2021-06-02
03M862,MOTT HALL II,INC,,,MANHATTAN,3,2021-06-02
04M007,P.S. 007 SAMUEL STERN,80.22,80.7,79.36,MANHATTAN,4,2021-06-02
04M012,TAG YOUNG SCHOLARS,98.04,98.59,96.37,MANHATTAN,4,2021-06-02
04M037,RIVER EAST ELEMENTARY,89.59,84.67,93.79,MANHATTAN,4,2021-06-02
04M038,P.S. 38 ROBERTO CLEMENTE,82.91,82.92,82.89,MANHATTAN,4,2021-06-02
04M057,JAMES WELDON JOHNSON,92.11,90.54,95.69,MANHATTAN,4,2021-06-02
04M072,THE LEXINGTON ACADEMY,86.04,85.84,89.65,MANHATTAN,4,2021-06-02
04M083,P.S. 083 LUIS MUNOZ RIVERA,88.69,88.69,,MANHATTAN,4,2021-06-02
04M096,P.S. 096 JOSEPH LANZETTA,80.77,73.87,90.18,MANHATTAN,4,2021-06-02
04M102,P.S. 102 JACQUES CARTIER,95.69,95.69,,MANHATTAN,4,2021-06-02
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C,85.61,83.92,88.88,MANHATTAN,4,2021-06-02
04M112,P.S. 112 JOSE CELSO BARBOSA,87.91,85.32,89.63,MANHATTAN,4,2021-06-02
04M146,P.S. 146 ANN M. SHORT,95.6,94.36,96.48,MANHATTAN,4,2021-06-02
04M155,P.S. 155 WILLIAM PACA,82.19,78.57,87.09,MANHATTAN,4,2021-06-02
04M171,P.S. 171 PATRICK HENRY,91.66,92.63,89.58,MANHATTAN,4,2021-06-02
04M182,THE BILINGUAL BICULTURAL SCHOOL,92.25,91.34,95.23,MANHATTAN,4,2021-06-02
04M206,P.S. 206 JOSE CELSO BARBOSA,87.38,87.24,87.82,MANHATTAN,4,2021-06-02
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS ACADEMIC,88.29,86.66,100.0,MANHATTAN,4,2021-06-02
04M310,THE JUDITH S. KAYE SCHOOL,56.69,56.25,60.0,MANHATTAN,4,2021-06-02
04M372,ESPERANZA PREPARATORY ACADEMY,84.25,84.22,84.34,MANHATTAN,4,2021-06-02
04M375,MOSAIC PREPARATORY ACADEMY,88.88,89.1,88.33,MANHATTAN,4,2021-06-02
04M377,RENAISSANCE SCHOOL OF THE ARTS,96.48,100.0,91.46,MANHATTAN,4,2021-06-02
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,92.71,92.06,100.0,MANHATTAN,4,2021-06-02
04M495,PARK EAST HIGH SCHOOL,81.72,80.87,100.0,MANHATTAN,4,2021-06-02
04M497,CENTRAL PARK EAST I,93.95,93.05,94.8,MANHATTAN,4,2021-06-02
04M555,CENTRAL PARK EAST HIGH SCHOOL,95.94,95.49,100.0,MANHATTAN,4,2021-06-02
04M610,YOUNG WOMEN S LEADERSHIP SCHOOL,74.21,75.3,67.18,MANHATTAN,4,2021-06-02
04M680,"HERITAGE SCHOOL, THE",83.07,83.33,78.94,MANHATTAN,4,2021-06-02
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH SCIENCE,92.28,93.33,89.28,MANHATTAN,4,2021-06-02
04M964,CENTRAL PARK EAST II,100,100.0,100.0,MANHATTAN,4,2021-06-02
05M030,P.S. 030 HERNANDEZ HUGHES,85.98,86.11,85.71,MANHATTAN,5,2021-06-02
05M036,P.S. 036 MARGARET DOUGLAS,91.88,90.98,95.31,MANHATTAN,5,2021-06-02
05M046,P.S. 046 ARTHUR TAPPAN,79.36,76.11,87.5,MANHATTAN,5,2021-06-02
05M092,P.S. 092 MARY MCLEOD BETHUNE,83.11,83.33,82.79,MANHATTAN,5,2021-06-02
05M123,P.S. 123 MAHALIA JACKSON,82.28,78.23,91.11,MANHATTAN,5,2021-06-02
05M125,P.S. 125 RALPH BUNCHE,91.95,90.75,92.81,MANHATTAN,5,2021-06-02
05M129,P.S. 129 JOHN H. FINLEY,81.49,77.71,85.91,MANHATTAN,5,2021-06-02
05M133,P.S. 133 FRED R MOORE,93.68,92.39,94.73,MANHATTAN,5,2021-06-02
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,42.05,40.57,100.0,MANHATTAN,5,2021-06-02
05M154,P.S. 154 HARRIET TUBMAN,90.86,89.56,92.17,MANHATTAN,5,2021-06-02
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,86.01,86.33,84.37,MANHATTAN,5,2021-06-02
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,85.36,83.27,92.4,MANHATTAN,5,2021-06-02
05M175,P.S. 175 HENRY H GARNET,84.81,80.88,91.96,MANHATTAN,5,2021-06-02
05M194,P.S. 194 COUNTEE CULLEN,90.21,93.61,86.66,MANHATTAN,5,2021-06-02
05M197,P.S. 197 JOHN B. RUSSWURM,84.74,85.6,83.65,MANHATTAN,5,2021-06-02
05M200,P.S. 200 THE JAMES MCCUNE SMITH SCHOOL,78.57,72.25,85.61,MANHATTAN,5,2021-06-02
05M285,HARLEM RENAISSANCE HIGH SCHOOL,65.6,78.33,24.32,MANHATTAN,5,2021-06-02
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,88.54,86.2,92.1,MANHATTAN,5,2021-06-02
05M304,MOTT HALL HIGH SCHOOL,60.6,56.39,88.46,MANHATTAN,5,2021-06-02
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,100,100.0,,MANHATTAN,5,2021-06-02
05M362,COLUMBIA SECONDARY SCHOOL,96.4,95.91,100.0,MANHATTAN,5,2021-06-02
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,INC,,,MANHATTAN,5,2021-06-02
05M371,SCHOOL OF EARTH EXPLORATION AND DISCOVERY HARLEM,77.92,78.33,76.47,MANHATTAN,5,2021-06-02
05M499,FREDERICK DOUGLASS ACADEMY,71.78,70.6,100.0,MANHATTAN,5,2021-06-02
05M514,NEW DESIGN MIDDLE SCHOOL,75.53,67.32,97.36,MANHATTAN,5,2021-06-02
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,86.84,85.96,90.0,MANHATTAN,5,2021-06-02
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,74.76,73.98,100.0,MANHATTAN,5,2021-06-02
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI",82.05,82.05,,MANHATTAN,5,2021-06-02
06M004,P.S. 004 DUKE ELLINGTON,87.75,87.75,,MANHATTAN,6,2021-06-02
06M005,P.S. 005 ELLEN LURIE,94.54,91.48,97.94,MANHATTAN,6,2021-06-02
