DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M034,P.S. 034 Franklin D. Roosevelt,2016-17,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,48.6%,180,51.4%,19,5.4%,102,29.1%,216,61.7%,0,0.0%,1,0.3%,11,3.1%,1,0.3%,130,37.1%,27,7.7%,Above 95%,Above 95%,86.2%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45.0%,183,55.0%,11,3.3%,106,31.8%,204,61.3%,0,0.0%,2,0.6%,9,2.7%,1,0.3%,124,37.2%,25,7.5%,Above 95%,Above 95%,93.7%
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,17,26,20,16,21,43,40,39,44,39,0,0,0,0,145,47.5%,160,52.5%,8,2.6%,102,33.4%,182,59.7%,0,0.0%,3,1.0%,9,3.0%,1,0.3%,117,38.4%,22,7.2%,Above 95%,Above 95%,94.8%
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,47.6%,155,52.4%,7,2.4%,107,36.1%,172,58.1%,0,0.0%,2,0.7%,8,2.7%,0,0.0%,117,39.5%,17,5.7%,Above 95%,Above 95%,Above 95%
01M034,P.S. 034 Franklin D. Roosevelt,2020-21,273,12,19,24,27,16,17,23,48,43,44,0,0,0,0,126,46.2%,147,53.8%,7,2.6%,104,38.1%,152,55.7%,1,0.4%,1,0.4%,8,2.9%,0,0.0%,107,39.2%,17,6.2%,Above 95%,Above 95%,Above 95%
01M063,The STAR Academy - P.S.63,2016-17,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,48.5%,103,51.5%,8,4.0%,37,18.5%,129,64.5%,5,2.5%,0,0.0%,21,10.5%,0,0.0%,66,33.0%,5,2.5%,165,82.5%,69.0%
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3%,103,50.7%,6,3.0%,37,18.2%,128,63.1%,8,3.9%,0,0.0%,24,11.8%,0,0.0%,67,33.0%,2,1.0%,166,81.8%,76.2%
01M063,The STAR Academy - P.S.63,2018-19,230,23,49,41,28,40,25,24,0,0,0,0,0,0,0,104,45.2%,126,54.8%,4,1.7%,45,19.6%,150,65.2%,9,3.9%,0,0.0%,22,9.6%,0,0.0%,77,33.5%,4,1.7%,177,77.0%,73.7%
01M063,The STAR Academy - P.S.63,2019-20,229,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,45.4%,125,54.6%,9,3.9%,39,17.0%,157,68.6%,6,2.6%,1,0.4%,17,7.4%,0,0.0%,71,31.0%,5,2.2%,177,77.3%,78.4%
01M063,The STAR Academy - P.S.63,2020-21,208,17,37,31,33,34,26,30,0,0,0,0,0,0,0,99,47.6%,109,52.4%,6,2.9%,40,19.2%,132,63.5%,7,3.4%,1,0.5%,19,9.1%,3,1.4%,58,27.9%,3,1.4%,160,76.9%,76.0%
01M064,P.S. 064 Robert Simon,2016-17,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,42.1%,143,57.9%,13,5.3%,48,19.4%,167,67.6%,2,0.8%,1,0.4%,16,6.5%,0,0.0%,81,32.8%,10,4.0%,Above 95%,Above 95%,82.4%
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2%,144,58.8%,11,4.5%,51,20.8%,167,68.2%,3,1.2%,0,0.0%,13,5.3%,0,0.0%,73,29.8%,5,2.0%,226,92.2%,88.2%
01M064,P.S. 064 Robert Simon,2018-19,223,19,42,32,40,29,28,33,0,0,0,0,0,0,0,93,41.7%,130,58.3%,7,3.1%,41,18.4%,159,71.3%,4,1.8%,0,0.0%,12,5.4%,0,0.0%,64,28.7%,6,2.7%,193,86.5%,89.5%
01M064,P.S. 064 Robert Simon,2019-20,236,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,45.3%,129,54.7%,7,3.0%,40,16.9%,174,73.7%,2,0.8%,3,1.3%,10,4.2%,0,0.0%,67,28.4%,4,1.7%,215,91.1%,91.6%
01M064,P.S. 064 Robert Simon,2020-21,220,18,28,24,43,32,43,32,0,0,0,0,0,0,0,97,44.1%,123,55.9%,7,3.2%,40,18.2%,160,72.7%,2,0.9%,1,0.5%,9,4.1%,1,0.5%,58,26.4%,4,1.8%,201,91.4%,88.2%
01M110,P.S. 110 Florence Nightingale,2016-17,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,46.7%,204,53.3%,70,18.3%,37,9.7%,161,42.0%,8,2.1%,2,0.5%,105,27.4%,0,0.0%,55,14.4%,20,5.2%,221,57.7%,48.5%
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8%,213,56.2%,64,16.9%,37,9.8%,168,44.3%,10,2.6%,1,0.3%,99,26.1%,0,0.0%,48,12.7%,14,3.7%,237,62.5%,58.0%
01M110,P.S. 110 Florence Nightingale,2018-19,372,34,59,66,59,52,45,57,0,0,0,0,0,0,0,168,45.2%,204,54.8%,59,15.9%,37,9.9%,168,45.2%,11,3.0%,1,0.3%,96,25.8%,0,0.0%,45,12.1%,8,2.2%,211,56.7%,59.4%
01M110,P.S. 110 Florence Nightingale,2019-20,396,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,43.7%,223,56.3%,64,16.2%,38,9.6%,180,45.5%,11,2.8%,2,0.5%,101,25.5%,0,0.0%,48,12.1%,10,2.5%,241,60.9%,62.7%
01M110,P.S. 110 Florence Nightingale,2020-21,373,26,61,63,59,63,49,52,0,0,0,0,0,0,0,160,42.9%,213,57.1%,59,15.8%,40,10.7%,163,43.7%,7,1.9%,1,0.3%,102,27.3%,1,0.3%,49,13.1%,7,1.9%,216,57.9%,64.6%
01M134,P.S. 134 Henrietta Szold,2016-17,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,48.3%,183,51.7%,55,15.5%,71,20.1%,213,60.2%,1,0.3%,3,0.8%,10,2.8%,1,0.3%,143,40.4%,33,9.3%,319,90.1%,82.8%
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1%,166,55.9%,33,11.1%,64,21.5%,182,61.3%,2,0.7%,3,1.0%,11,3.7%,2,0.7%,124,41.8%,26,8.8%,273,91.9%,90.1%
01M134,P.S. 134 Henrietta Szold,2018-19,281,14,43,37,35,45,53,54,0,0,0,0,0,0,0,126,44.8%,155,55.2%,27,9.6%,73,26.0%,169,60.1%,1,0.4%,2,0.7%,9,3.2%,0,0.0%,121,43.1%,24,8.5%,263,93.6%,91.6%
01M134,P.S. 134 Henrietta Szold,2019-20,245,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,47.3%,129,52.7%,23,9.4%,65,26.5%,146,59.6%,3,1.2%,2,0.8%,6,2.4%,0,0.0%,105,42.9%,18,7.3%,Above 95%,Above 95%,94.6%
01M134,P.S. 134 Henrietta Szold,2020-21,217,13,21,30,39,37,35,42,0,0,0,0,0,0,0,100,46.1%,117,53.9%,21,9.7%,57,26.3%,131,60.4%,3,1.4%,2,0.9%,3,1.4%,0,0.0%,91,41.9%,12,5.5%,206,94.9%,94.2%
01M140,P.S. 140 Nathan Straus,2016-17,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,47.6%,200,52.4%,18,4.7%,45,11.8%,304,79.6%,0,0.0%,4,1.0%,11,2.9%,0,0.0%,124,32.5%,45,11.8%,287,75.1%,83.6%
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1%,189,50.9%,21,5.7%,46,12.4%,292,78.7%,0,0.0%,2,0.5%,10,2.7%,0,0.0%,122,32.9%,36,9.7%,328,88.4%,91.3%
01M140,P.S. 140 Nathan Straus,2018-19,385,12,30,32,32,26,25,29,64,67,68,0,0,0,0,188,48.8%,197,51.2%,17,4.4%,54,14.0%,305,79.2%,0,0.0%,0,0.0%,9,2.3%,0,0.0%,145,37.7%,43,11.2%,333,86.5%,90.0%
01M140,P.S. 140 Nathan Straus,2019-20,372,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,47.0%,197,53.0%,11,3.0%,60,16.1%,293,78.8%,0,0.0%,1,0.3%,7,1.9%,0,0.0%,147,39.5%,27,7.3%,333,89.5%,93.3%
01M140,P.S. 140 Nathan Straus,2020-21,358,12,20,26,26,33,25,32,58,66,60,0,0,0,0,167,46.6%,191,53.4%,7,2.0%,76,21.2%,261,72.9%,0,0.0%,1,0.3%,13,3.6%,0,0.0%,133,37.2%,26,7.3%,340,95.0%,92.3%
01M142,P.S. 142 Amalia Castro,2016-17,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,45.5%,194,54.5%,17,4.8%,42,11.8%,285,80.1%,0,0.0%,7,2.0%,4,1.1%,1,0.3%,121,34.0%,32,9.0%,Above 95%,Above 95%,85.7%
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7%,188,55.3%,8,2.4%,43,12.6%,281,82.6%,0,0.0%,6,1.8%,1,0.3%,1,0.3%,127,37.4%,27,7.9%,Above 95%,Above 95%,91.1%
01M142,P.S. 142 Amalia Castro,2018-19,353,51,48,55,49,51,44,55,0,0,0,0,0,0,0,153,43.3%,200,56.7%,13,3.7%,55,15.6%,273,77.3%,1,0.3%,4,1.1%,5,1.4%,2,0.6%,130,36.8%,26,7.4%,Above 95%,Above 95%,91.2%
01M142,P.S. 142 Amalia Castro,2019-20,329,51,56,43,48,44,45,42,0,0,0,0,0,0,0,147,44.7%,182,55.3%,4,1.2%,54,16.4%,253,76.9%,2,0.6%,6,1.8%,8,2.4%,2,0.6%,110,33.4%,22,6.7%,Above 95%,Above 95%,90.2%
01M142,P.S. 142 Amalia Castro,2020-21,317,43,53,49,37,45,44,46,0,0,0,0,0,0,0,137,43.2%,180,56.8%,1,0.3%,57,18.0%,242,76.3%,2,0.6%,5,1.6%,7,2.2%,3,0.9%,90,28.4%,21,6.6%,300,94.6%,90.4%
01M184,P.S. 184m Shuang Wen,2016-17,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,49.1%,342,50.9%,468,69.6%,30,4.5%,81,12.1%,28,4.2%,8,1.2%,57,8.5%,0,0.0%,125,18.6%,109,16.2%,461,68.6%,52.5%
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9%,343,50.1%,475,69.4%,25,3.7%,92,13.5%,35,5.1%,6,0.9%,50,7.3%,1,0.1%,113,16.5%,103,15.1%,465,68.0%,65.3%
01M184,P.S. 184m Shuang Wen,2018-19,678,36,63,64,64,50,65,62,101,88,85,0,0,0,0,337,49.7%,341,50.3%,468,69.0%,27,4.0%,89,13.1%,39,5.8%,3,0.4%,51,7.5%,1,0.1%,109,16.1%,99,14.6%,461,68.0%,67.2%
01M184,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,50.2%,352,49.8%,498,70.4%,24,3.4%,84,11.9%,45,6.4%,3,0.4%,52,7.4%,1,0.1%,117,16.5%,99,14.0%,469,66.3%,67.1%
01M184,P.S. 184m Shuang Wen,2020-21,721,36,75,71,55,61,61,51,96,104,111,0,0,0,0,351,48.7%,370,51.3%,500,69.3%,23,3.2%,83,11.5%,49,6.8%,3,0.4%,61,8.5%,2,0.3%,111,15.4%,113,15.7%,483,67.0%,64.1%
01M188,P.S. 188 The Island School,2016-17,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,43.8%,250,56.2%,10,2.2%,141,31.7%,278,62.5%,1,0.2%,0,0.0%,15,3.4%,0,0.0%,138,31.0%,64,14.4%,382,85.8%,92.7%
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7%,248,57.3%,8,1.8%,127,29.3%,286,66.1%,0,0.0%,0,0.0%,12,2.8%,0,0.0%,135,31.2%,69,15.9%,399,92.1%,Above 95%
01M188,P.S. 188 The Island School,2018-19,407,16,24,37,32,49,39,55,48,54,53,0,0,0,0,181,44.5%,226,55.5%,6,1.5%,134,32.9%,249,61.2%,1,0.2%,2,0.5%,15,3.7%,0,0.0%,148,36.4%,30,7.4%,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2019-20,398,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,45.5%,217,54.5%,11,2.8%,125,31.4%,250,62.8%,0,0.0%,3,0.8%,9,2.3%,0,0.0%,135,33.9%,39,9.8%,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2020-21,370,9,19,33,29,42,36,47,46,60,49,0,0,0,0,163,44.1%,207,55.9%,14,3.8%,120,32.4%,221,59.7%,2,0.5%,2,0.5%,11,3.0%,0,0.0%,123,33.2%,32,8.6%,Above 95%,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2016-17,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,37.9%,87,62.1%,21,15.0%,34,24.3%,77,55.0%,0,0.0%,0,0.0%,7,5.0%,1,0.7%,38,27.1%,20,14.3%,128,91.4%,84.7%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4%,90,52.6%,19,11.1%,43,25.1%,97,56.7%,0,0.0%,2,1.2%,8,4.7%,2,1.2%,41,24.0%,23,13.5%,157,91.8%,89.9%
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,67,70,35,25,91,46.2%,106,53.8%,19,9.6%,53,26.9%,112,56.9%,0,0.0%,5,2.5%,6,3.0%,2,1.0%,57,28.9%,23,11.7%,163,82.7%,87.5%
01M292,Orchard Collegiate Academy,2019-20,226,0,0,0,0,0,0,0,0,0,0,65,64,65,32,101,44.7%,125,55.3%,27,11.9%,58,25.7%,127,56.2%,0,0.0%,4,1.8%,6,2.7%,4,1.8%,65,28.8%,21,9.3%,191,84.5%,87.8%
01M292,Orchard Collegiate Academy,2020-21,296,0,0,0,0,0,0,0,0,0,0,108,57,66,65,143,48.3%,153,51.7%,30,10.1%,75,25.3%,174,58.8%,1,0.3%,6,2.0%,3,1.0%,7,2.4%,81,27.4%,22,7.4%,226,76.4%,83.1%
01M315,The East Village Community School,2016-17,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,49.2%,160,50.8%,32,10.2%,17,5.4%,61,19.4%,21,6.7%,0,0.0%,184,58.4%,0,0.0%,59,18.7%,4,1.3%,71,22.5%,26.0%
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6%,157,49.4%,32,10.1%,17,5.3%,64,20.1%,21,6.6%,1,0.3%,183,57.5%,0,0.0%,56,17.6%,4,1.3%,86,27.0%,36.9%
01M315,The East Village Community School,2018-19,333,36,50,49,50,50,53,45,0,0,0,0,0,0,0,174,52.3%,159,47.7%,32,9.6%,15,4.5%,77,23.1%,17,5.1%,1,0.3%,191,57.4%,0,0.0%,54,16.2%,5,1.5%,94,28.2%,34.9%
01M315,The East Village Community School,2019-20,330,36,50,47,45,52,46,54,0,0,0,0,0,0,0,164,49.7%,166,50.3%,32,9.7%,15,4.5%,76,23.0%,18,5.5%,1,0.3%,188,57.0%,0,0.0%,59,17.9%,3,0.9%,99,30.0%,38.2%
01M315,The East Village Community School,2020-21,297,34,50,44,43,40,46,40,0,0,0,0,0,0,0,144,48.5%,153,51.5%,33,11.1%,12,4.0%,77,25.9%,19,6.4%,1,0.3%,155,52.2%,0,0.0%,50,16.8%,4,1.3%,95,32.0%,37.9%
01M332,University Neighborhood Middle School,2016-17,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,43.6%,132,56.4%,22,9.4%,67,28.6%,133,56.8%,0,0.0%,1,0.4%,11,4.7%,0,0.0%,109,46.6%,23,9.8%,205,87.6%,80.1%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3%,115,56.7%,18,8.9%,47,23.2%,128,63.1%,2,1.0%,0,0.0%,8,3.9%,0,0.0%,89,43.8%,11,5.4%,180,88.7%,84.8%
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,69,77,63,0,0,0,0,90,43.1%,119,56.9%,18,8.6%,41,19.6%,131,62.7%,2,1.0%,0,0.0%,17,8.1%,0,0.0%,94,45.0%,7,3.3%,176,84.2%,81.6%
01M332,University Neighborhood Middle School,2019-20,218,0,0,0,0,0,0,0,71,72,75,0,0,0,0,82,37.6%,136,62.4%,16,7.3%,43,19.7%,137,62.8%,2,0.9%,0,0.0%,20,9.2%,0,0.0%,91,41.7%,11,5.0%,181,83.0%,81.7%
01M332,University Neighborhood Middle School,2020-21,207,0,0,0,0,0,0,0,66,71,70,0,0,0,0,78,37.7%,129,62.3%,11,5.3%,41,19.8%,133,64.3%,0,0.0%,1,0.5%,21,10.1%,0,0.0%,88,42.5%,8,3.9%,164,79.2%,84.3%
01M361,The Children's Workshop School,2016-17,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,47.5%,155,52.5%,30,10.2%,29,9.8%,114,38.6%,14,4.7%,0,0.0%,108,36.6%,0,0.0%,67,22.7%,12,4.1%,142,48.1%,45.6%
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3%,169,53.7%,31,9.8%,29,9.2%,124,39.4%,19,6.0%,1,0.3%,111,35.2%,0,0.0%,73,23.2%,9,2.9%,144,45.7%,50.5%
01M361,The Children's Workshop School,2018-19,320,36,54,47,55,43,48,37,0,0,0,0,0,0,0,149,46.6%,171,53.4%,31,9.7%,33,10.3%,127,39.7%,16,5.0%,1,0.3%,112,35.0%,0,0.0%,81,25.3%,11,3.4%,157,49.1%,53.4%
01M361,The Children's Workshop School,2019-20,336,38,64,47,45,52,45,45,0,0,0,0,0,0,0,156,46.4%,180,53.6%,33,9.8%,35,10.4%,130,38.7%,20,6.0%,1,0.3%,116,34.5%,1,0.3%,85,25.3%,13,3.9%,159,47.3%,53.6%
01M361,The Children's Workshop School,2020-21,304,29,51,53,48,38,45,40,0,0,0,0,0,0,0,149,49.0%,155,51.0%,33,10.9%,30,9.9%,118,38.8%,23,7.6%,2,0.7%,97,31.9%,1,0.3%,70,23.0%,12,3.9%,158,52.0%,54.5%
01M363,Neighborhood School,2016-17,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,48.7%,156,51.3%,15,4.9%,33,10.9%,105,34.5%,6,2.0%,2,0.7%,142,46.7%,1,0.3%,69,22.7%,10,3.3%,121,39.8%,39.9%
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49.0%,155,51.0%,19,6.3%,28,9.2%,106,34.9%,8,2.6%,2,0.7%,140,46.1%,1,0.3%,69,22.7%,10,3.3%,133,43.8%,47.8%
01M363,Neighborhood School,2018-19,306,36,39,59,40,48,44,40,0,0,0,0,0,0,0,145,47.4%,161,52.6%,21,6.9%,27,8.8%,115,37.6%,11,3.6%,3,1.0%,129,42.2%,0,0.0%,72,23.5%,4,1.3%,126,41.2%,46.0%
01M363,Neighborhood School,2019-20,306,36,50,41,55,42,43,39,0,0,0,0,0,0,0,154,50.3%,152,49.7%,21,6.9%,31,10.1%,106,34.6%,25,8.2%,1,0.3%,122,39.9%,0,0.0%,67,21.9%,4,1.3%,128,41.8%,46.2%
01M363,Neighborhood School,2020-21,270,25,46,46,30,48,36,39,0,0,0,0,0,0,0,137,50.7%,133,49.3%,19,7.0%,32,11.9%,94,34.8%,23,8.5%,1,0.4%,101,37.4%,0,0.0%,62,23.0%,4,1.5%,118,43.7%,47.3%
01M364,Earth School,2016-17,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,49.2%,168,50.8%,20,6.0%,43,13.0%,113,34.1%,28,8.5%,0,0.0%,127,38.4%,0,0.0%,85,25.7%,17,5.1%,164,49.5%,44.8%
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4%,194,54.6%,24,6.8%,40,11.3%,139,39.2%,31,8.7%,0,0.0%,121,34.1%,0,0.0%,103,29.0%,21,5.9%,194,54.6%,55.4%
01M364,Earth School,2018-19,350,36,61,54,48,48,57,46,0,0,0,0,0,0,0,157,44.9%,193,55.1%,25,7.1%,38,10.9%,141,40.3%,28,8.0%,0,0.0%,118,33.7%,0,0.0%,102,29.1%,21,6.0%,198,56.6%,57.9%
01M364,Earth School,2019-20,344,31,61,54,51,49,45,53,0,0,0,0,0,0,0,147,42.7%,197,57.3%,18,5.2%,40,11.6%,136,39.5%,31,9.0%,0,0.0%,119,34.6%,0,0.0%,102,29.7%,12,3.5%,197,57.3%,57.2%
01M364,Earth School,2020-21,291,23,39,53,46,42,46,42,0,0,0,0,0,0,0,121,41.6%,170,58.4%,19,6.5%,36,12.4%,118,40.5%,33,11.3%,0,0.0%,85,29.2%,0,0.0%,81,27.8%,8,2.7%,161,55.3%,60.0%
01M378,School for Global Leaders,2016-17,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,44.5%,157,55.5%,41,14.5%,77,27.2%,156,55.1%,1,0.4%,3,1.1%,5,1.8%,0,0.0%,103,36.4%,29,10.2%,195,68.9%,74.6%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4%,145,56.6%,35,13.7%,70,27.3%,145,56.6%,1,0.4%,1,0.4%,4,1.6%,0,0.0%,100,39.1%,23,9.0%,212,82.8%,85.3%
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,63,86,101,0,0,0,0,103,41.2%,147,58.8%,32,12.8%,59,23.6%,141,56.4%,6,2.4%,2,0.8%,10,4.0%,0,0.0%,97,38.8%,25,10.0%,213,85.2%,84.9%
01M378,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,43.6%,115,56.4%,17,8.3%,50,24.5%,121,59.3%,4,2.0%,2,1.0%,10,4.9%,0,0.0%,83,40.7%,17,8.3%,174,85.3%,85.4%
