,School Campus,Intervention Type,Scanning Type,School Related,School Hours,Enforcment By,Restraints,Force,Top Charge,SummonsCharge,Classification,Incident Location,Scanning Incident,Greater Than 21,Type Of Force
35,Aspirations Diploma Plus HS(BN),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
36,Aspirations Diploma Plus HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
37,Aspirations Diploma Plus HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
38,AUGUST MARTIN HS(QS) ,Juvenile Report,Full-Time,Y,Y,DOE,No Restraints,N,,,V,On-Site,Y,,
39,AUTOMOTIVE HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
40,AUTOMOTIVE HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISORDERLY CONDUCT,V,On-Site,N,,
41,AUTOMOTIVE HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
42,AUTOMOTIVE HS(BN) ,Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
43,AUTOMOTIVE HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
44,AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
45,BANANA KELLY HS(XE) ,Summons,Unannounced,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
46,BARD HS EARLY COLLEGE(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
47,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
48,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Juvenile Report,Random,Y,N,PATROL,No Restraints,N,,,M,Off-Site,N,,
49,Baychester Middle School(XE),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,SEXUAL ABUSE,,M,On-Site,N,,
50,BAYSIDE HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,POS FORG INST,,F,On-Site,N,,
51,BEACH CHANNEL HS(QS) ,Arrested,Full-Time,Y,Y,PATROL,Yes,N,ROBBERY,,F,On-Site,N,,
52,Beacon High School (MS),Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
53,Bedford Park Elementary School(XW),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,CPCS,,F,On-Site,N,,
54,Beginning with Children Charter School(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
55,BENJAMIN CARDOZO HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,CPCS,,M,On-Site,N,,
56,BENJAMIN CARDOZO HS(QN) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
57,BENJAMIN CARDOZO HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
58,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
59,BENJAMIN CARDOZO HS(QN) ,Arrested,Non-Scanning,Y,Y,SSA,Yes,N,CPCS,,M,On-Site,N,,
60,BENJAMIN CARDOZO HS(QN) ,Summons,Non-Scanning,Y,Y,PATROL,Yes,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
61,BOYS AND GIRLS HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
62,BOYS AND GIRLS HS(BN) ,Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
63,BRANDEIS YABC(MN),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
64,BRANDEIS YABC(MN),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ROBBERY,,F,On-Site,N,,
65,BRANDEIS YABC(MN),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ROBBERY,,F,On-Site,N,,
66,BRANDEIS YABC(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
67,BRANDEIS YABC(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
68,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Summons,Non-Scanning,Y,Y,SSA,No Restraints,N,,DISCON: FIGHTING,V,Off-Site,N,,
69,BRONX ACADEMY OF HEALTH CAREERS(XE),Arrested,Full-Time,Y,Y,SSA,Yes,N,CRIM POS WEAPON,,M,On-Site,Y,,
70,BRONX ACADEMY OF HEALTH CAREERS(XE),PINS Warrant,Full-Time,Y,Y,UTF,Yes,N,,,,On-Site,Y,,
71,BRONX AEROSPACE HS(XE),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
72,Bronx Career & College Preparatory HS(XE),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
73,Bronx Career & College Preparatory HS(XE),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
74,Bronx Career & College Preparatory HS(XE),Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
75,Bronx Career & College Preparatory HS(XE),Arrested,Non-Scanning,Y,N,PATROL,Yes,N,MENACING,,M,On-Site,N,,
76,Bronx Early College Academy for Teaching & Learning(XW),Summons,Unannounced,Y,Y,UTF,No Restraints,N,,BOX CUTTER,v,On-Site,Y,,
77,Bronx Envision Academy(XE),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
78,Bronx Envision Academy(XE),Arrested,Non-Scanning,Y,Y,DB,Yes,N,ASSAULT,,M,Off-Site,N,,
79,BRONX HS FOR THE VISUAL ARTS(XE) ,Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
80,BRONX HS FOR WRITING & COMMUNICATION ARTS(XE),Summons,Full-Time,Y,Y,UTF,Yes,N,,DISORDERLY CONDUCT,V,On-Site,N,,
81,BRONX HS OF BUSINESS(XW),Arrested,Full-Time,Y,Y,UTF,Yes,N,FORCIBLE TOUCH,,M,On-Site,N,,
82,BRONX HS OF SCIENCE(XW) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
83,BRONX HS OF SCIENCE(XW) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
84,BRONX HS OF SCIENCE(XW) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
85,BRONX INTERNATIONAL HS(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
86,BRONX INTERNATIONAL HS(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
87,BRONX INTERNATIONAL HS(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
88,BRONX INTERNATIONAL HS(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
89,BRONX LAB SCHOOL(XE),Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
90,BRONX LAB SCHOOL(XE),Mitigated,Full-Time,Y,Y,UTF,Yes,N,,,,On-Site,N,,
91,BRONX LAB SCHOOL(XE),Summons,Full-Time,Y,Y,UTF,Yes,N,,DISORDERLY CONDUCT,V,On-Site,N,,
92,BRONX LAB SCHOOL(XE),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,DISORDERLY CONDUCT,V,On-Site,N,,
93,BRONX LAB SCHOOL(XE),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,DISORDERLY CONDUCT,V,On-Site,N,,
94,BRONX LAB SCHOOL(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
95,BRONX LAB SCHOOL(XE),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,,
96,BRONX LAB SCHOOL(XE),Arrested,Full-Time,Y,Y,UTF,Yes,N,ASSAULT,,F,On-Site,Y,,
97,BRONX LAB SCHOOL(XE),Arrested,Full-Time,Y,Y,SSA,Yes,N,CRIM POS WEAPON,,M,On-Site,Y,,
98,BRONX LAB SCHOOL(XE),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
99,Bronx Latin(XE),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
100,Bronx Leadership Academy HS(XE) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
101,Bronx Leadership Academy HS(XE) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
102,Bronx Leadership Academy HS(XE) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
103,BRONX LEADERSHIP ACADEMY II HS(XW) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,MENACING,,M,On-Site,N,,
104,BRONX LEADERSHIP ACADEMY II HS(XW) ,Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
105,BRONX LEADERSHIP ACADEMY II HS(XW) ,Summons,Unannounced,Y,Y,UTF,No Restraints,N,,BOX CUTTER,v,On-Site,Y,,
106,BRONX LEADERSHIP ACADEMY II HS(XW) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,F,On-Site,N,,
107,BRONX LEADERSHIP ACADEMY II HS(XW) ,Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
108,BRONX LEADERSHIP ACADEMY II HS(XW) ,Summons,Unannounced,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
109,Bronx Preparatory Charter School(XE),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
110,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
111,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
112,BRONX REGIONAL HS(XE) ,PINS Warrant,Full-Time,Y,Y,PATROL,Yes,N,,,,On-Site,Y,,
113,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,DISCON: FIGHTING,V,On-Site,N,,
114,BRONX REGIONAL HS(XE) ,PINS Warrant,Full-Time,Y,Y,PATROL,Yes,N,,,,On-Site,Y,,
115,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
116,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
117,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
118,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
119,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,LOITERING (SCHOOL),V,On-Site,N,,
120,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,BOX CUTTER,V,On-Site,N,,
121,BRONX REGIONAL HS(XE) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
122,BRONX REGIONAL HS(XE) ,Arrested,Full-Time,N,N,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
123,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,Juvenile Report,Non-Scanning,Y,Y,PATROL,Yes,N,,,,On-Site,N,,
124,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,,On-Site,N,,
125,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
126,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,Juvenile Report,Random,Y,Y,PATROL,No Restraints,N,,,,On-Site,Y,,
127,BRONX SCHOOL OF LAW & FINANCE(XW) ,PINS Warrant,Full-Time,Y,N,PATROL,Yes,N,,,,On-Site,N,,
128,BRONX SCHOOL OF LAW & FINANCE(XW) ,Arrested,Full-Time,N,N,DB,Yes,N,MURDER,,F,Off-Site,N,,
129,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,F,On-Site,N,,
130,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
131,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
132,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
133,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
134,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
135,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
136,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
137,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Arrested,Non-Scanning,Y,N,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
138,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Juvenile Report,Non-Scanning,N,Y,PATROL,Yes,N,,,,On-Site,N,,
139,BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,Child in Crisis,Non-Scanning,Y,Y,,Yes,,,,,,,,
140,Bronxdale HS(XE),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
141,Bronxwood Preparatory Academy(XE),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
142,Bronxwood Preparatory Academy(XE),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,F,On-Site,N,,
143,Bronxwood Preparatory Academy(XE),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
144,Brooklyn Frontiers HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
145,Brooklyn Frontiers HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
146,Brooklyn Frontiers HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
147,Brooklyn Frontiers HS(BN),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
148,Brooklyn Generation School(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,M,Off-Site,N,,
149,Brooklyn HS for Law & Technology(BN),Mitigated,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
150,Brooklyn HS for Law & Technology(BN),Child in Crisis,Random,Y,Y,,Yes,,,,,,,,
151,BROOKLYN HS OF THE ARTS(BN) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
152,Brooklyn Lab School(BN),Summons,Full-Time,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
153,BROOKLYN PREPARATORY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
154,BROOKLYN PREPARATORY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
155,BROOKLYN PREPARATORY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
156,BROOKLYN PREPARATORY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
157,BROOKLYN STUDIO SECONDARY SCHOOL(BS) ,Arrested,Non-Scanning,Y,Y,SSA,Yes,N,USE DRUG PARA,,M,On-Site,N,,
158,Brooklyn Theatre Arts HS (BS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
159,Brooklyn Theatre Arts HS (BS),Summons,Full-Time,Y,Y,PATROL,Yes,N,,DISORDERLY CONDUCT,V,On-Site,N,,
160,BROWNSVILLE ACADEMY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,,
161,BROWNSVILLE ACADEMY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
162,BROWNSVILLE ACADEMY HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
163,BUSHWICK HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
164,BUSHWICK HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
165,BUSHWICK HS(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
166,BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,Y,,
167,BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
168,BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
169,BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),Juvenile Report,Full-Time,Y,Y,SSA,Yes,N,,,,On-Site,N,,
170,BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
171,Cambria Heights Academy(QS),Child in Crisis,Random,Y,Y,,Yes,,,,,,,,
172,CANARSIE HS(BS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
173,CANARSIE HS(BS) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,"IMITATION PISTOL/AIR RIFLE, POSS. OF",V,On-Site,Y,,
174,CANARSIE HS(BS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
175,CANARSIE HS(BS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
176,CANARSIE HS(BS) ,Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
177,CANARSIE HS(BS) ,Arrested,Full-Time,Y,Y,PATROL,Yes,N,GRAND LARCENY,,F,Off-Site,N,,
178,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
179,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
180,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
181,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
182,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
183,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
184,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
185,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
186,CAREER EDUCATION CENTER(MS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,,
187,CHOIR ACADEMY OF HARLEM(MN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
188,CHRISTOPHER COLUMBUS HS(XE) ,Arrested,Full-Time,Y,N,PATROL,Yes,N,ROBBERY,,F,Off-Site,N,,
