Borough,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Manhattan,2016-17,"178,383","8,478","11,480","11,795","11,721","11,446","11,179","10,745","11,026","10,650","10,615","19,240","18,049","15,820","16,139","90,298",50.6%,"88,083",49.4%,"21,440",12.0%,"42,294",23.7%,"80,223",45.0%,"3,246",1.8%,"1,074",0.6%,"28,778",16.1%,"1,328",0.7%,"36,271",20.3%,"19,358",10.9%,"114,277",64.1%,59.8%
Manhattan,2017-18,"177,752","8,365","11,237","11,538","11,454","11,533","11,173","11,146","11,043","10,819","10,725","18,559","18,309","15,732","16,119","89,999",50.6%,"87,728",49.4%,"21,188",11.9%,"41,303",23.2%,"79,621",44.8%,"3,721",2.1%,"1,116",0.6%,"29,544",16.6%,"1,259",0.7%,"37,135",20.9%,"19,089",10.7%,"120,957",68.0%,67.3%
Manhattan,2018-19,"177,512","8,922","10,988","11,241","11,123","11,168","11,228","10,986","11,320","11,018","10,891","18,459","17,872","16,130","16,166","89,756",50.6%,"87,755",49.4%,"21,071",11.9%,"40,507",22.8%,"79,171",44.6%,"4,143",2.3%,"1,290",0.7%,"30,084",16.9%,"1,246",0.7%,"38,063",21.4%,"18,102",10.2%,"118,397",66.7%,66.5%
Manhattan,2019-20,"180,636","11,201","11,015","10,884","11,024","10,964","10,931","11,021","11,162","11,267","11,078","18,339","17,737","15,948","18,065","91,347",50.6%,"89,289",49.4%,"21,308",11.8%,"40,967",22.7%,"79,931",44.2%,"4,476",2.5%,"1,307",0.7%,"30,643",17.0%,"2,004",1.1%,"38,878",21.5%,"17,095",9.5%,"119,314",66.1%,67.9%
Manhattan,2020-21,"173,851","9,870","10,037","10,249","10,229","10,413","10,440","10,395","10,827","10,854","11,166","18,041","17,884","16,250","17,196","87,846",50.5%,"86,005",49.5%,"20,759",11.9%,"39,296",22.6%,"77,613",44.6%,"4,635",2.7%,"1,314",0.8%,"28,327",16.3%,"1,907",1.1%,"37,644",21.7%,"17,041",9.8%,"114,781",66.0%,67.1%
Queens,2016-17,"310,741","20,983","22,763","23,431","23,233","23,310","23,686","22,476","22,046","21,637","21,558","23,193","25,193","19,006","18,226","149,073",48.0%,"161,668",52.0%,"87,534",28.2%,"56,609",18.2%,"117,008",37.7%,"2,560",0.8%,"5,401",1.7%,"40,382",13.0%,"1,247",0.4%,"53,236",17.1%,"44,828",14.4%,"207,432",66.8%,50.2%
Queens,2017-18,"309,302","20,946","22,434","22,767","22,911","22,854","22,933","23,384","22,039","21,826","21,740","23,257","24,541","18,815","18,855","148,591",48.0%,"160,701",52.0%,"87,556",28.3%,"55,101",17.8%,"116,896",37.8%,"2,898",0.9%,"5,894",1.9%,"39,747",12.9%,"1,210",0.4%,"54,174",17.5%,"44,773",14.5%,"226,458",73.2%,65.8%
Queens,2018-19,"307,114","21,609","21,936","22,376","22,254","22,381","22,540","22,846","22,748","21,884","21,801","23,084","24,310","18,298","19,047","147,355",48.0%,"159,759",52.0%,"86,907",28.3%,"53,718",17.5%,"116,969",38.1%,"3,198",1.0%,"6,034",2.0%,"39,007",12.7%,"1,281",0.4%,"54,805",17.8%,"43,773",14.3%,"218,554",71.2%,65.2%
Queens,2019-20,"305,623","23,558","21,717","21,874","22,006","21,774","22,039","22,332","22,283","22,601","21,918","22,989","23,928","18,260","18,344","146,795",48.0%,"158,828",52.0%,"86,094",28.2%,"52,190",17.1%,"117,619",38.5%,"3,444",1.1%,"6,195",2.0%,"38,270",12.5%,"1,811",0.6%,"54,520",17.8%,"42,266",13.8%,"217,708",71.2%,67.2%
Queens,2020-21,"294,923","21,013","20,166","20,946","20,961","21,154","21,104","21,463","21,583","21,841","22,246","21,526","23,957","18,287","18,676","141,856",48.1%,"153,067",51.9%,"84,062",28.5%,"49,714",16.9%,"113,584",38.5%,"3,752",1.3%,"6,027",2.0%,"36,122",12.2%,"1,662",0.6%,"52,743",17.9%,"44,123",15.0%,"206,978",70.2%,65.5%
Staten Island,2016-17,"65,924","4,141","4,620","4,798","4,786","4,877","4,887","4,772","4,552","4,590","4,741","5,389","5,029","4,425","4,317","31,689",48.1%,"34,235",51.9%,"5,832",8.8%,"9,044",13.7%,"18,830",28.6%,882,1.3%,294,0.4%,"30,822",46.8%,220,0.3%,"17,069",25.9%,"3,816",5.8%,"36,800",55.8%,43.6%
Staten Island,2017-18,"65,703","3,992","4,527","4,747","4,793","4,783","4,875","4,884","4,714","4,558","4,579","5,166","5,180","4,439","4,466","31,738",48.3%,"33,959",51.7%,"6,348",9.7%,"8,893",13.5%,"18,976",28.9%,941,1.4%,310,0.5%,"30,026",45.7%,209,0.3%,"17,438",26.5%,"4,093",6.2%,"38,787",59.0%,53.3%
Staten Island,2018-19,"65,623","4,164","4,370","4,658","4,707","4,779","4,755","4,879","4,772","4,716","4,560","5,000","4,864","4,809","4,590","31,756",48.4%,"33,867",51.6%,"7,056",10.8%,"8,684",13.2%,"19,214",29.3%,"1,024",1.6%,311,0.5%,"29,011",44.2%,323,0.5%,"17,696",27.0%,"4,207",6.4%,"38,749",59.0%,53.7%
Staten Island,2019-20,"67,829","6,311","4,528","4,501","4,691","4,740","4,803","4,772","4,733","4,796","4,730","5,090","4,949","4,694","4,491","32,732",48.3%,"35,097",51.7%,"7,992",11.8%,"8,743",12.9%,"20,074",29.6%,"1,164",1.7%,327,0.5%,"29,322",43.2%,207,0.3%,"18,079",26.7%,"4,256",6.3%,"39,745",58.6%,55.7%
Staten Island,2020-21,"67,235","6,210","4,345","4,532","4,481","4,680","4,702","4,795","4,665","4,699","4,827","5,011","4,954","4,807","4,527","32,433",48.2%,"34,802",51.8%,"8,405",12.5%,"8,703",12.9%,"19,983",29.7%,"1,216",1.8%,328,0.5%,"28,275",42.1%,325,0.5%,"17,790",26.5%,"4,708",7.0%,"39,033",58.1%,54.5%
