,School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
21,Academy of Finance & Enterprise(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
22,Academy of Hospitality &Tourism(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
23,Academy of Hospitality &Tourism(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
24,Academy of Hospitality &Tourism(BS),Arrested,On-Site,Yes,Full-Time,N,Y,Y,PATROL,Metal,N,None,ASSAULT,,M
25,Academy of Hospitality &Tourism(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
26,Academy of Hospitality &Tourism(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
27,Academy of Innovative Learning(SI),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
28,Academy of Medical Technology(QS),Arrested,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,PETIT LARCENY,,M
29,ACADEMY OF URBAN PLANNING(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
30,ACADEMY OF URBAN PLANNING(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
31,Access GED(BN),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
32,Accion Academy(XW),Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,M
33,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
34,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
35,ACORN COMMUNITY HS(BN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
36,ACORN COMMUNITY HS(BN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
37,ACORN COMMUNITY HS(BN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
38,ACORN COMMUNITY HS(BN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
39,ACORN COMMUNITY HS(BN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
40,ACORN COMMUNITY HS(BN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
41,ACORN COMMUNITY HS(BN) ,Juvenile Report,On-Site,No,Unannounced,Y,Y,Y,SSA,No Restraints,N,None,,,V
42,ACORN COMMUNITY HS(BN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
43,ADLAI STEVENSON HS GED(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
44,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
45,Adlai Stevenson HS(XE) ,Mitigated,On-Site,Yes,Full-Time,N,Y,N,DOE,No Restraints,N,None,,,
46,Adlai Stevenson HS(XE) ,Mitigated,On-Site,Yes,Full-Time,N,Y,N,DOE,No Restraints,N,None,,,
47,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,Y,Physical Force,,,
48,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
49,Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
50,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
51,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
52,Adlai Stevenson HS(XE) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,BOX CUTTER,V
53,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,N,Y,,No Restraints,N,None,,,
54,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,N,Y,,No Restraints,N,None,,,
55,Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
56,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,,V
57,Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
58,ALC - August Martin HS@A. Martin HS (QS),Juvenile Report,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,V
59,ALC-Royal 180 Academy@ALC-Complex(Old PS182Q-Qns),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
60,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
61,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS OF KNIFE,V
62,ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
63,ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
64,ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,DISSEMINATE INDECENT MATERIAL,,F
65,Alternative Learning Center@John Jay Campus,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
66,Alternative Learning Center@John Jay Campus,Arrested,On-Site,No,Full-Time,Y,Y,Y,SSA,Metal,N,None,CRIM POS WEAP,,M
67,Alternative Learning Center@John Jay Campus,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,M
68,Andries Hudde JHS(BS),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,FALSE REPORT,,M
69,Andries Hudde JHS(BS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
70,AP RANDOLPH CAMPUS HS(MN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,AGG HARASS,,M
71,AP RANDOLPH CAMPUS HS(MN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
72,AP RANDOLPH CAMPUS HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
73,AP RANDOLPH CAMPUS HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
74,AP RANDOLPH CAMPUS HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
75,AP RANDOLPH CAMPUS HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
76,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
77,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,M
78,Archimedes Academy for Math Science & Technology Applications(XE),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
79,ART & DESIGN HS @PS 59M(MS),Arrested,On-Site,No,Non-Scanning,N,Y,Y,SSA,Metal,N,None,ASSAULT,,M
80,ART & DESIGN HS @PS 59M(MS),Arrested,On-Site,No,Non-Scanning,N,Y,Y,SSA,Metal,N,None,ASSAULT,,F
81,ART & DESIGN HS @PS 59M(MS),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,RECK ENDANG,,M
82,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
83,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
84,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
85,ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,,No Restraints,N,None,,,
86,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
87,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
88,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
89,Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
90,Aspirations Diploma Plus HS(BN),Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ROBBERY,,F
91,Aspirations Diploma Plus HS(BN),Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,BOX CUTTER,V
92,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
93,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
94,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
95,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
96,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
97,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
98,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
99,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
100,AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
101,AUGUST MARTIN HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,Y,DB,No Restraints,N,None,ASSAULT,,M
102,AUGUST MARTIN HS(QS) ,Summons,On-Site,Yes,Full-Time,Y,Y,Y,PATROL,Metal,N,None,,TRESPASS,V
103,AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
104,AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
105,AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
106,AUTOMOTIVE HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
107,AUTOMOTIVE HS(BN) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,M
108,AUTOMOTIVE HS(BN) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS OF KNIFE,V
109,AUTOMOTIVE HS(BN) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS OF KNIFE,V
110,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
111,BARD HS EARLY COLLEGE(MS) ,Mitigated,On-Site,No,Non-Scanning,N,Y,N,DOE,No Restraints,N,None,,,
112,Baruch College Campus HS(MS),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,PATROL,Metal,N,None,,,
113,Baruch College Campus HS(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
114,Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
115,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
116,BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
117,Baychester Middle School(XE),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
118,BAYSIDE HS(QN) ,Arrested,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,ROBBERY,,F
119,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
120,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
121,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
122,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
123,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
124,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
125,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
126,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
127,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
128,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
129,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
130,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
131,BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
132,BEACH CHANNEL HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ROBBERY,,F
133,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,DISORDERLY CONDUCT,V
134,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,DISORDERLY CONDUCT,V
135,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,DISORDERLY CONDUCT,V
136,BEACH CHANNEL HS(QS) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,DISORDERLY CONDUCT,V
137,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
138,BEACH CHANNEL HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,PATROL,Velcro,N,None,,,
139,BEACH CHANNEL HS(QS) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,PATROL,Velcro,N,None,,,V
140,Beacon High School (MS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
141,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,,No Restraints,N,None,,,
142,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
143,Beacon High School (MS),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,SSA,Metal,N,None,,,
144,Bedford Park Elementary School(XW),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
145,BENJAMIN CARDOZO HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
146,BENJAMIN CARDOZO HS(QN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
147,BENJAMIN CARDOZO HS(QN) ,Arrested,Off-Site,No,Non-Scanning,N,N,Y,PATROL,Metal,N,None,FAIL ANSWER TICKET,,V
148,BENJAMIN CARDOZO HS(QN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,SSA,Metal,N,None,POSS FORGED INST,,F
149,BENJAMIN CARDOZO HS(QN) ,Arrested,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,RAPE,,F
150,BENJAMIN CARDOZO HS(QN) ,Arrested,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,RAPE,,F
151,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
152,BENJAMIN CARDOZO HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
153,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,,,M
154,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,,,M
155,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,,,M
156,BENJAMIN CARDOZO HS(QN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,,,M
157,BENJAMIN CARDOZO HS(QN) ,Summons,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,POSS OF KNIFE,V
158,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
159,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
160,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
161,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
162,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
163,BOYS AND GIRLS HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
164,BOYS AND GIRLS HS(BN) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
165,BOYS AND GIRLS HS(BN) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
166,BOYS AND GIRLS HS(BN) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,DISORDERLY CONDUCT,V
167,BOYS AND GIRLS HS(BN) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
168,BOYS AND GIRLS HS(BN) ,Child in Crisis,On-Site,No,Non-Scanning,Y,Y,Y,,No Restraints,N,None,,,
169,BOYS AND GIRLS HS(BN) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
170,BOYS AND GIRLS HS(BN) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
171,BOYS AND GIRLS HS(BN) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
172,BOYS AND GIRLS HS(BN) ,Juvenile Report,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,,V
173,BOYS AND GIRLS HS(BN) ,Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,"IMITATION PISTOL/AIR RIFLE, POSS OF",V
174,BRANDEIS YABC(MN),Arrested,On-Site,No,Full-Time,Y,Y,Y,SSA,Metal,N,None,CRIM POS WEAP,,M
175,BRANDEIS YABC(MN),Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,BOX CUTTER,V
176,BRANDEIS YABC(MN),Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
177,BRANDEIS YABC(MN),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
178,BRANDEIS YABC(MN),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
179,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Mitigated,Off-Site,No,Non-Scanning,N,N,N,DOE,No Restraints,N,None,,,
180,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
181,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
182,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
183,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
184,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
185,BREAD & ROSES INTEGRATED ARTS  HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
186,BRONX ACADEMY OF HEALTH CAREERS(XE),Arrested,Off-Site,No,Full-Time,N,N,N,DB,Metal,N,None,ROBBERY,,F
187,BRONX ACADEMY OF HEALTH CAREERS(XE),Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,"MARIJUANA, POSSESSION OF",V
188,Bronx Career & College Preparatory HS(XE),Summons,On-Site,No,Non-Scanning,N,N,Y,PATROL,Metal,N,None,,DISORDERLY CONDUCT,V
189,Bronx Career & College Preparatory HS(XE),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
190,Bronx Career & College Preparatory HS(XE),Juvenile Report,On-Site,No,Non-Scanning,N,N,Y,PATROL,No Restraints,N,None,,,V
191,BRONX CENTER FOR SCIENCE & MATHEMATICS(XE) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
192,BRONX CENTER FOR SCIENCE & MATHEMATICS(XE) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
193,BRONX CENTER FOR SCIENCE & MATHEMATICS(XE) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
194,BRONX DANCE ACADEMY SCHOOL(XW),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,FORCIBLE TOUCH,,M
195,BRONX DANCE ACADEMY SCHOOL(XW),Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,SEXUAL ABUSE,,M
196,Bronx Early College Academy for Teaching & Learning(XW),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,,No Restraints,N,None,,,
197,BRONX ENGINEERING & TECHNOLOGY ACADEMY(XW),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
