Geographical District Code,Building Code,ATS System Code,Location Name,Primary Address,City,Zip,Service
2,M282,02M316,"Urban Assembly School of Business for Young Women, the",26 BROADWAY,MANHATTAN,10004,School Mental Health Specialist Program
2,M047,02M347,The 47 American Sign Language & English Lower School,223 EAST 23 STREET,MANHATTAN,10010,School Mental Health Specialist Program
2,M460,02M374,Gramercy Arts High School,40 IRVING PLACE,MANHATTAN,10003,School-based Health Center w/ Mental Health
2,M440,02M392,Manhattan Business Academy,351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M971,02M397,Spruce Street School,12 SPRUCE STREET,MANHATTAN,10038,School Mental Health Specialist Program
2,M460,02M399,The High School For Language And Diplomacy,40 IRVING PLACE,MANHATTAN,10003,School-based Health Center w/ Mental Health
2,M834,02M400,High School for Environmental Studies,444 WEST 56 STREET,MANHATTAN,10019,School-based Mental Health Clinic
2,M017,02M408,Professional Performing Arts High School,328 WEST 48 STREET,MANHATTAN,10036,School Mental Health Specialist Program
2,M874,02M411,Baruch College Campus High School,55 EAST 25 STREET,MANHATTAN,10010,School Mental Health Specialist Program
2,M070,02M412,N.Y.C. Lab School for Collaborative Studies,333 WEST 17 STREET,MANHATTAN,10011,School Mental Health Specialist Program
2,M660,02M413,School of the Future High School,127 EAST 22 STREET,MANHATTAN,10010,School Mental Health Specialist Program
2,M070,02M414,N.Y.C. Museum School,333 WEST 17 STREET,MANHATTAN,10011,School Mental Health Specialist Program
2,M855,02M416,Eleanor Roosevelt High School,411 EAST 76 STREET,MANHATTAN,10021,School Mental Health Specialist Program
2,M824,02M418,Millennium High School,75 BROAD STREET,MANHATTAN,10004,School Mental Health Specialist Program
2,M440,02M419,Landmark High School,351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M440,02M422,Quest to Learn,351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M894,02M425,Leadership and Public Service High School,90 TRINITY PLACE,MANHATTAN,10006,Prevention Intervention Program MH
2,M620,02M427,Manhattan Academy For Arts & Language,111 EAST 33RD STREET,MANHATTAN,10016,School-based Health Center w/ Mental Health
2,M620,02M432,Murray Hill Academy,111 EAST 33RD STREET,MANHATTAN,10016,School-based Health Center w/ Mental Health
2,M440,02M437,Hudson High School of Learning Technologies,351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M460,02M438,International High School at Union Square,40 IRVING PLACE,MANHATTAN,10003,School-based Health Center w/ Mental Health
2,M873,02M439,Manhattan Village Academy,43 WEST 22 STREET,MANHATTAN,10010,School Mental Health Specialist Program
2,M480,02M449,Vanguard High School,317 EAST 67 STREET,MANHATTAN,10065,School-based Health Center w/ Mental Health
2,M480,02M459,Manhattan International High School,317 EAST 67 STREET,MANHATTAN,10065,School-based Health Center w/ Mental Health
2,M477,02M475,Stuyvesant High School,345 CHAMBERS STREET,MANHATTAN,10282,School-based Mental Health Clinic
2,M833,02M489,High School of Economics and Finance,100 TRINITY PLACE,MANHATTAN,10006,School Mental Health Specialist Program
2,M620,02M500,Unity Center for Urban Technologies,111 EAST 33RD STREET,MANHATTAN,10016,School-based Health Center w/ Mental Health
2,M480,02M519,Talent Unlimited High School,317 EAST 67 STREET,MANHATTAN,10065,School-based Health Center w/ Mental Health
2,M520,02M520,Murry Bergtraum High School for Business Careers,411 PEARL STREET,MANHATTAN,10038,Prevention Intervention Program MH
2,M486,02M529,Jacqueline Kennedy Onassis High School,120 WEST 46 STREET,MANHATTAN,10036,Prevention Intervention Program MH
2,M896,02M531,Repertory Company High School for Theatre Arts,123 WEST 43 STREET,MANHATTAN,10036,School Mental Health Specialist Program
2,M460,02M533,Union Square Academy for Health Sciences,40 IRVING PLACE,MANHATTAN,10003,School-based Health Center w/ Mental Health
2,M883,02M534,Harvest Collegiate High School,34 WEST 14 STREET,MANHATTAN,10011,School Mental Health Specialist Program
2,M535,02M542,Manhattan Bridges High School,525 WEST 50TH STREET,MANHATTAN,10019,School-based Health Center w/ Mental Health
2,M445,02M543,New Design High School,350 GRAND STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
2,M834,02M544,Independence High School,850 10TH AVENUE,MANHATTAN,10019,School-based Mental Health Clinic
2,M445,02M545,High School for Dual Language and Asian Studies,350 GRAND STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
2,M460,02M546,Academy for Software Engineering,40 IRVING PLACE,MANHATTAN,10003,School-based Health Center w/ Mental Health
2,M480,02M565,Urban Academy Laboratory High School,317 EAST 67 STREET,MANHATTAN,10065,School-based Health Center w/ Mental Health
2,M600,02M600,The High School of Fashion Industries,225 WEST 24 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M440,02M605,Humanities Preparatory Academy,351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M488,02M630,Art and Design High School,231-249 EAST 56 STREET,MANHATTAN,10019,Prevention Intervention Program MH
2,M645,02M655,Life Sciences Secondary School,320 EAST 96 STREET,MANHATTAN,10128,School Mental Health Specialist Program
2,M282,02M896,Lower Manhattan Community Middle School,26 BROADWAY,MANHATTAN,10004,School Mental Health Specialist Program
2,M111,02M933,City Knoll Middle School,440 WEST 53 STREET,MANHATTAN,10019,School-based Mental Health Clinic
3,M054,03M054,J.H.S. 054 Booker T. Washington,103 WEST 107 STREET,MANHATTAN,10025,School Mental Health Specialist Program
3,M076,03M076,P.S. 076 A. Philip Randolph,220 WEST 121 STREET,MANHATTAN,10027,School Mental Health Specialist Program
3,M084,03M084,P.S. 084 Lillian Weber,32 WEST 92 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M145,03M145,"P.S. 145, The Bloomingdale School",150 WEST 105 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M207,03M149,P.S. 149 Sojourner Truth,41 WEST 117 STREET,MANHATTAN,10026,Community School MH
3,M163,03M163,P.S. 163 Alfred E. Smith,163 WEST 97 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M180,03M180,P.S. 180 Hugo Newman,370 WEST 120TH STREET,MANHATTAN,10027,School-based Health Center w/ Mental Health
3,M185,03M185,The Locke School of Arts and Engineering,20 WEST 112 STREET,MANHATTAN,10026,School-based Mental Health Clinic
3,M342,03M191,The Riverside School for Makers and Artists,300 WEST 61ST STREET,NEW YORK,10023,School Mental Health Specialist Program
3,M009,03M243,M.S. 243 Center School,100 WEST 84 STREET,MANHATTAN,10024,School Mental Health Specialist Program
3,M044,03M245,M.S. M245 The Computer School,100 WEST 77 STREET,MANHATTAN,10024,School Mental Health Specialist Program
3,M044,03M247,M.S. M247 Dual Language Middle School,100 WEST 77 STREET,MANHATTAN,10024,School Response Team
3,M075,03M250,M.S. 250 West Side Collaborative Middle School,735 WEST END AVENUE,MANHATTAN,10025,School Mental Health Specialist Program
3,M118,03M256,Lafayette Academy,154 WEST 93 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M118,03M258,Community Action School - MS 258,154 WEST 93 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M837,03M291,West End Secondary School,227-243 WEST 61ST STREET,MANHATTAN,10023,School Mental Health Specialist Program
3,M118,03M333,P.S. 333 Manhattan School for Children,154 WEST 93 STREET,MANHATTAN,10025,School-based Mental Health Clinic
3,M044,03M334,The Anderson School,100 WEST 77 STREET,MANHATTAN,10024,School Mental Health Specialist Program
3,M470,03M402,The Urban Assembly School for Green Careers,145 WEST 84 STREET,MANHATTAN,10024,School-based Health Center w/ Mental Health
3,M470,03M403,The Global Learning Collaborative,145 WEST 84 STREET,MANHATTAN,10024,School-based Health Center w/ Mental Health
3,M470,03M404,Innovation Diploma Plus,145 WEST 84 STREET,MANHATTAN,10024,School-based Health Center w/ Mental Health
3,M088,03M415,Wadleigh Secondary School for the Performing & Visual Arts,215 WEST 114 STREET,MANHATTAN,10026,Community School MH
3,M470,03M417,Frank McCourt High School,145 WEST 84 STREET,MANHATTAN,10024,School-based Health Center w/ Mental Health
3,M145,03M421,West Prep Academy,150 WEST 105 STREET,MANHATTAN,10025,School-based Mental Health Clinic
2,M912,03M479,Beacon High School,522 WEST 44TH STREET,NEW YORK,10036,School Mental Health Specialist Program
3,M506,03M505,Edward A. Reynolds West Side High School,140 WEST 102 STREET,MANHATTAN,10025,School-based Health Center w/ Mental Health
3,M088,03M860,Frederick Douglass Academy II Secondary School,215 WEST 114 STREET,MANHATTAN,10026,School-based Mental Health Clinic
3,M165,03M862,Mott Hall II,234 WEST 109 STREET,MANHATTAN,10025,School Mental Health Specialist Program
4,M007,04M007,P.S. 007 Samuel Stern,160 EAST 120 STREET,MANHATTAN,10035,School-based Health Center w/ Mental Health
4,M117,04M012,Tag Young Scholars,240 EAST 109 STREET,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M045,04M037,River East Elementary,2351 FIRST AVENUE,MANHATTAN,10035,School-based Health Center w/ Mental Health
4,M121,04M038,P.S. 38 Roberto Clemente,232 EAST 103 STREET,MANHATTAN,10029,Community School MH
4,M057,04M057,James Weldon Johnson,176 EAST 115 STREET,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M072,04M072,The Lexington Academy,131 EAST 104 STREET,MANHATTAN,10029,School-based Mental Health Clinic
4,M083,04M083,P.S. 083 Luis Munoz Rivera,219 East 109 Street,Manhattan,10029,School-based Health Center w/ Mental Health
4,M096,04M096,P.S. 096 Joseph Lanzetta,216 EAST 120 STREET,MANHATTAN,10035,Community School MH
4,M102,04M102,P.S. 102 Jacques Cartier,315 EAST 113 STREET,MANHATTAN,10029,School-based Mental Health Clinic
4,M108,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,1615 MADISON AVENUE,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M146,04M146,P.S. 146 Ann M. Short,421 EAST 106 STREET,MANHATTAN,10029,School-based Mental Health Clinic
4,M155,04M155,P.S. 155 William Paca,319 EAST 117 STREET,MANHATTAN,10035,School-based Health Center w/ Mental Health
4,M171,04M171,P.S. 171 Patrick Henry,19 EAST 103 STREET,MANHATTAN,10029,School Mental Health Specialist Program
4,M083,04M182,The Bilingual Bicultural School,219 East 109 Street,Manhattan,10029,School-based Health Center w/ Mental Health
4,M206,04M206,P.S. 206 Jose Celso Barbosa,508 EAST 120 STREET,MANHATTAN,10035,School-based Mental Health Clinic
4,M099,04M224,M.S. 224 Manhattan East School for Arts & Academics,410 EAST 100 STREET,MANHATTAN,10029,School Mental Health Specialist Program
4,M117,04M372,Esperanza Preparatory Academy,240 EAST 109 STREET,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M101,04M375,Mosaic Preparatory Academy,141 EAST 111 STREET,MANHATTAN,10029,School Mental Health Specialist Program
4,M155,04M377,Renaissance School of the Arts,319 EAST 117 STREET,MANHATTAN,10035,Community School MH
4,M435,04M435,Manhattan Center for Science and Mathematics,260 PLEASANT AVENUE,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M495,04M495,Park East High School,230 EAST 105 STREET,MANHATTAN,10029,School Mental Health Specialist Program
4,M013,04M497,Central Park East I,1573 MADISON AVENUE,MANHATTAN,10029,School-based Mental Health Clinic
4,M013,04M555,Central Park East High School,1573 MADISON AVENUE,MANHATTAN,10029,School-based Mental Health Clinic
4,M895,04M610,Young Women's Leadership School,105 EAST 106TH STREET,NEW YORK,10029,School Mental Health Specialist Program
4,M107,04M680,"Heritage School, The",1680 LEXINGTON AVENUE,MANHATTAN,10029,Prevention Intervention Program MH
4,M435,04M825,Isaac Newton Middle School for Math & Science,260 PLEASANT AVENUE,MANHATTAN,10029,School-based Health Center w/ Mental Health
4,M050,04M964,Central Park East II,433 EAST 100 STREET,MANHATTAN,10029,Community School MH
5,M036,05M036,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,MANHATTAN,10027,School-based Mental Health Clinic
5,M046,05M046,P.S. 046 Arthur Tappan,2987 FREDERICK DOUGLASS BOULEVARD,MANHATTAN,10039,School-based Health Center w/ Mental Health
5,M092,05M092,P.S. 092 Mary McLeod Bethune,222 WEST 134 STREET,MANHATTAN,10030,School Mental Health Specialist Program
5,M123,05M123,P.S. 123 Mahalia Jackson,301 WEST 140 STREET,MANHATTAN,10030,Community School MH
5,M129,05M129,P.S. 129 John H. Finley,425 WEST 130 STREET,MANHATTAN,10027,School Mental Health Specialist Program
5,M133,05M133,P.S. 133 Fred R Moore,2121 5 AVENUE,MANHATTAN,10037,School Mental Health Specialist Program
5,M136,05M148,Eagle Academy for Young Men of Harlem,6 EDGECOMBE AVENUE,MANHATTAN,10030,School-based Health Center w/ Mental Health
5,M154,05M154,P.S. 154 Harriet Tubman,250 WEST 127 STREET,MANHATTAN,10027,Community School MH
5,M161,05M161,P.S. 161 Pedro Albizu Campos,499 WEST 133 STREET,MANHATTAN,10027,School-based Mental Health Clinic
5,M194,05M194,P.S. 194 Countee Cullen,244 WEST 144 STREET,MANHATTAN,10030,Community School MH
5,M043,05M286,Urban Assembly Academy for Future Leaders,509 WEST 129 STREET,MANHATTAN,10027,School Mental Health Specialist Program
5,M136,05M304,Mott Hall High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,School-based Health Center w/ Mental Health
5,M125,05M362,Columbia Secondary School,425 WEST 123 STREET,MANHATTAN,10027,School Response Team
5,M043,05M369,Urban Assembly School for the Performing Arts,509 WEST 129 STREET,MANHATTAN,10027,School Mental Health Specialist Program
5,M129,05M371,School of Earth Exploration and Discovery Harlem (SEED Harlem),425 WEST 130 STREET,MANHATTAN,10027,School Mental Health Specialist Program
5,M010,05M499,Frederick Douglass Academy,2581 7TH AVENUE,MANHATTAN,10039,School-based Health Center w/ Mental Health
5,M195,05M514,New Design Middle School,625 WEST 133 STREET,MANHATTAN,10027,School Response Team
5,M916,05M517,Teachers College Community School,168 MORNINGSIDE AVENUE,MANHATTAN,10027,School Mental Health Specialist Program
5,M970,05M670,Thurgood Marshall Academy for Learning and Social Change,200-214 WEST 135TH STREET,MANHATTAN,10030,School-based Health Center w/ Mental Health
6,M812,05M692,"High School for Mathematics, Science and Engineering at City College",240 CONVENT AVE,MANHATTAN,10031,School-based Mental Health Clinic
6,M004,06M004,P.S. 004 Duke Ellington,500 WEST 160 STREET,MANHATTAN,10032,School-based Mental Health Clinic
6,M898,06M018,P.S. 018 Park Terrace,4124 9 AVENUE,MANHATTAN,10034,School Mental Health Specialist Program
6,M048,06M048,P.S. 048 P.O. Michael J. Buczek,4360-78 BROADWAY,MANHATTAN,10033,School-based Mental Health Clinic
6,M052,06M052,Harold O. Levy School,650 ACADEMY STREET,MANHATTAN,10034,School-based Health Center w/ Mental Health
6,M132,06M103,Dos Puentes Elementary School,185 WADSWORTH AVENUE,MANHATTAN,10033,School-based Mental Health Clinic
6,M128,06M128,P.S. 128 Audubon,560 WEST 169 STREET,MANHATTAN,10032,School-based Mental Health Clinic
6,M132,06M132,P.S. 132 Juan Pablo Duarte,185 WADSWORTH AVENUE,MANHATTAN,10033,Community School MH
6,M143,06M143,J.H.S. 143 Eleanor Roosevelt,511 WEST 182ND STREET,MANHATTAN,10033,School-based Health Center w/ Mental Health
6,M152,06M152,P.S. 152 Dyckman Valley,93 NAGLE AVENUE,MANHATTAN,10040,School-based Mental Health Clinic
6,M173,06M173,P.S. 173,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,School-based Mental Health Clinic
6,M178,06M178,Professor Juan Bosch Public School,12-18 ELLWOOD STREET,MANHATTAN,10040,School Mental Health Specialist Program
6,M187,06M187,P.S./I.S. 187 Hudson Cliffs,349 CABRINI BOULEVARD,MANHATTAN,10040,School-based Mental Health Clinic
6,M189,06M189,P.S. 189,2580 AMSTERDAM AVENUE,MANHATTAN,10040,School-based Mental Health Clinic
6,M192,06M192,P.S. 192 Jacob H. Schiff,500 WEST 138 STREET,MANHATTAN,10031,School-based Health Center w/ Mental Health
6,M192,06M209,Hamilton Grange Middle School,500 WEST 138 STREET,MANHATTAN,10031,School-based Health Center w/ Mental Health
6,M093,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,501-503 WEST 152 STREET,MANHATTAN,10031,School Response Team
6,M052,06M211,Inwood Early College for Health and Information Technologies,650 ACADEMY STREET,MANHATTAN,10034,School-based Health Center w/ Mental Health
5,M223,06M223,The Mott Hall School,71-111 CONVENT AVE,MANHATTAN,10027,School Mental Health Specialist Program
6,M918,06M278,Paula Hedbavny School,421 W 219TH ST,MANHATTAN,10034,School Mental Health Specialist Program
6,M218,06M293,City College Academy of the Arts,4600 BROADWAY,MANHATTAN,10040,School-based Health Center w/ Mental Health
6,M176,06M311,Amistad Dual Language School,4862 BROADWAY,MANHATTAN,10034,School Response Team
6,M090,06M319,M.S. 319 - Maria Teresa,21 JUMEL PLACE,MANHATTAN,10032,School-based Health Center w/ Mental Health
6,M218,06M322,Middle School 322,4600 BROADWAY,MANHATTAN,10040,School-based Health Center w/ Mental Health
6,M090,06M324,M.S. 324 - Patria Mirabal,21 JUMEL PLACE,MANHATTAN,10032,School-based Health Center w/ Mental Health
6,M164,06M328,Community Math & Science Prep,401 WEST 164 STREET,MANHATTAN,10032,School-based Health Center w/ Mental Health
6,M814,06M346,Community Health Academy of the Heights,504 WEST 158TH STREET,MANHATTAN,10032,School-based Health Center w/ Mental Health
6,M143,06M348,Washington Heights Expeditionary Learning School,511 WEST 182ND STREET,MANHATTAN,10033,School-based Health Center w/ Mental Health
6,M173,06M349,Harbor Heights,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,School-based Mental Health Clinic
6,M263,06M366,Washington Heights Academy,202 SHERMAN AVE,MANHATTAN,10034,School Mental Health Specialist Program
6,M052,06M423,High School for Excellence and Innovation,650 ACADEMY STREET,MANHATTAN,10034,Community School MH
6,M465,06M462,The College Academy,549 AUDUBON AVENUE,MANHATTAN,10040,School-based Health Center w/ Mental Health
6,M465,06M463,High School for Media and Communications,549 AUDUBON AVENUE,MANHATTAN,10040,Community School MH
6,M465,06M467,High School for Law and Public Service,549 AUDUBON AVENUE,MANHATTAN,10040,School-based Health Center w/ Mental Health
6,M465,06M468,High School for Health Careers and Sciences,549 AUDUBON AVENUE,MANHATTAN,10040,Community School MH
6,M128,06M513,Castle Bridge School,560 WEST 169 STREET,MANHATTAN,10032,School-based Mental Health Clinic
6,M528,06M528,I.S. 528 Bea Fuller Rodgers School,180 WADSWORTH AVENUE,MANHATTAN,10033,Community School MH
6,M540,06M540,A. Philip Randolph Campus High School,443 WEST 135 STREET,MANHATTAN,10031,School-based Health Center w/ Mental Health
6,M876,06M552,Gregorio Luperon High School for Science and Mathematics,501 WEST 165TH STREET,MANHATTAN,10032,School Mental Health Specialist Program
7,X005,07X005,P.S. 5 Port Morris,564 JACKSON AVENUE,BRONX,10455,School Mental Health Specialist Program
7,X018,07X018,P.S. 018 John Peter Zenger,502 MORRIS AVENUE,BRONX,10451,School-based Health Center w/ Mental Health
7,X029,07X029,P.S./M.S. 029 Melrose School,758 COURTLANDT AVENUE,BRONX,10451,School-based Health Center w/ Mental Health
7,X151,07X031,P.S./M.S. 031 The William Lloyd Garrison,250 EAST 156 STREET,BRONX,10451,School-based Health Center w/ Mental Health
7,X065,07X065,P.S. 065 Mother Hale Academy,677 EAST 141 STREET,BRONX,10454,School-based Mental Health Clinic
7,X151,07X151,J.H.S. 151 Lou Gehrig,250 EAST 156 STREET,BRONX,10451,School-based Health Center w/ Mental Health
7,X154,07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 STREET,BRONX,10454,Community School MH
7,X161,07X161,P.S. 161 Juan Ponce De Leon School,628 TINTON AVENUE,BRONX,10455,School Mental Health Specialist Program
7,X040,07X179,P.S. 179,468 EAST 140 STREET,BRONX,10454,School-based Mental Health Clinic
7,X149,07X221,South Bronx Preparatory: A College Board School,360 EAST 145 STREET,BRONX,10454,School Mental Health Specialist Program
7,X149,07X223,The Laboratory School of Finance and Technology: X223,360 EAST 145 STREET,BRONX,10454,School Response Team
7,X139,07X224,P.S./I.S. 224,345 BROOK AVENUE,BRONX,10454,School-based Health Center w/ Mental Health
7,X027,07X277,P.S. 277,519 ST ANNS AVENUE,BRONX,10455,School Mental Health Specialist Program
7,X184,07X296,South Bronx Academy for Applied Media,778 FOREST AVENUE,BRONX,10456,School-based Mental Health Clinic
7,X184,07X298,Academy of Public Relations,778 FOREST AVENUE,BRONX,10456,School-based Mental Health Clinic
7,X139,07X334,International Community High School,345 BROOK AVENUE,BRONX,10454,School-based Health Center w/ Mental Health
7,X139,07X343,Academy of Applied Mathematics and Technology,345 BROOK AVENUE,BRONX,10454,School-based Health Center w/ Mental Health
7,X156,07X359,Concourse Village Elementary School,750 CONCOURSE VILLAGE WEST,BRONX,10451,School Mental Health Specialist Program
7,X040,07X369,Young Leaders Elementary School,468 EAST 140 STREET,BRONX,10454,School-based Mental Health Clinic
7,X184,07X379,Jill Chaifetz Transfer High School,778 FOREST AVENUE,BRONX,10456,Community School MH
7,X884,07X427,Community School for Social Justice,350 GERARD AVENUE,BRONX,10451,School-based Health Center w/ Mental Health
7,X470,07X473,Mott Haven Village Preparatory High School,701 ST. ANNS AVENUE,BRONX,10455,School-based Health Center w/ Mental Health
7,X470,07X495,University Heights Secondary School,701 ST. ANNS AVENUE,BRONX,10455,School-based Health Center w/ Mental Health
7,X162,07X500,Hostos-Lincoln Academy of Science,600 SAINT ANN'S AVENUE,BRONX,10455,School-based Health Center w/ Mental Health
7,X790,07X527,Bronx Leadership Academy II High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,School-based Health Center w/ Mental Health
7,X790,07X548,Careers in Sports High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,Community School MH
7,X183,07X551,The Urban Assembly Bronx Academy of Letters,339 MORRIS AVENUE,BRONX,10451,School Mental Health Specialist Program
7,X162,07X584,I.S. 584,600 SAINT ANN'S AVENUE,BRONX,10455,Community School MH
7,X790,07X625,Walkabout Bronx High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,School-based Health Center w/ Mental Health
